battery_kwh,category,constraint_scenario,cv_over_manifest,depot_charging_energy_share,depot_peak_capacity,depot_peak_concurrent,ev_over_manifest,fake_balance,in_practical_band,instance,manifest_num_cv,manifest_num_ev,public_charging_energy_share,size,source_artifact,winner_composition,winner_cv_route_count,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_ev_route_count,winner_ev_route_share
113.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-100c-01,7,7,,100,09l_stage_a,balanced_mixed,13,0.53,0.5807578436175425,0.5053668938885907,20,0.6060606060606061
113.0,vanilla,unbounded_reference,True,,,,False,False,False,e2-vanilla-10c-01,1,1,,10,09l_stage_a,all_cv,4,0.0,0.0,0.0,0,0.0
113.0,vanilla,unbounded_reference,False,,,,True,False,False,e2-vanilla-150c-01,10,10,,150,09l_stage_a,all_ev,0,1.0,1.0,1.0,57,1.0
113.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-15c-01,2,0,,15,09l_stage_a,balanced_mixed,3,0.3333333333333333,0.4326083945144757,0.3296902611616007,2,0.4
113.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-200c-01,14,14,,200,09l_stage_a,balanced_mixed,30,0.5,0.5308176877470355,0.5385999119020916,41,0.5774647887323944
113.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-20c-01,2,1,,20,09l_stage_a,balanced_mixed,3,0.4,0.5033112582781457,0.3241994802444527,3,0.5
113.0,vanilla,unbounded_reference,False,,,,True,False,False,e2-vanilla-25c-01,2,1,,25,09l_stage_a,ev_heavy_mixed,1,0.76,0.8595773038842346,0.8152098216352952,7,0.875
113.0,vanilla,unbounded_reference,False,,,,True,False,False,e2-vanilla-50c-01,4,3,,50,09l_stage_a,ev_heavy_mixed,2,0.84,0.8620167776528582,0.8299907065697656,14,0.875
113.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-75c-01,6,5,,75,09l_stage_a,balanced_mixed,9,0.6,0.6321493076459964,0.5606510483204922,17,0.6538461538461539
123.9,multidepot,unbounded_reference,False,,,,True,False,False,e2-multidepot-100c-01,7,7,,100,09l_stage_a,ev_heavy_mixed,3,0.88,0.9162921467975889,0.8214607952396231,30,0.9090909090909091
