instance_id,seed,depot_id,base_all_cv_routes_Rd,num_cv,num_ev,total_fleet_cap,routes_used,cv_used,ev_used,cv_idle,ev_idle,total_idle,required_ev_by_completer
cn-cy-75c-03-V2-LOCATIONS,1,D_chengdu,6,6,2,8,5,5,0,1,2,3,0
cn-cy-75c-03-V2-LOCATIONS,1,D_chongqing,8,8,2,10,7,6,1,2,1,3,0
cn-cy-75c-03-V2-LOCATIONS,2,D_chengdu,6,6,2,8,5,5,0,1,2,3,0
cn-cy-75c-03-V2-LOCATIONS,2,D_chongqing,8,8,2,10,7,6,1,2,1,3,0
cn-cy-75c-03-V2-LOCATIONS,3,D_chengdu,6,6,2,8,5,5,0,1,2,3,0
cn-cy-75c-03-V2-LOCATIONS,3,D_chongqing,8,8,2,10,7,6,1,2,1,3,0
cn-cy-75c-03-V2-LOCATIONS,4,D_chengdu,6,6,2,8,5,5,0,1,2,3,0
cn-cy-75c-03-V2-LOCATIONS,4,D_chongqing,8,8,2,10,7,6,1,2,1,3,0
cn-cy-75c-03-V2-LOCATIONS,5,D_chengdu,6,6,2,8,5,5,0,1,2,3,0
cn-cy-75c-03-V2-LOCATIONS,5,D_chongqing,8,8,2,10,7,6,1,2,1,3,0
cn-jjj-100c-01-V2-LOCATIONS,1,D_beijing,12,12,3,15,12,10,2,2,1,3,0
cn-jjj-100c-01-V2-LOCATIONS,1,D_tianjin,5,5,2,7,5,3,2,2,0,2,0
cn-jjj-100c-01-V2-LOCATIONS,2,D_beijing,12,12,3,15,12,10,2,2,1,3,0
cn-jjj-100c-01-V2-LOCATIONS,2,D_tianjin,5,5,2,7,5,3,2,2,0,2,0
cn-jjj-100c-01-V2-LOCATIONS,3,D_beijing,12,12,3,15,12,10,2,2,1,3,0
cn-jjj-100c-01-V2-LOCATIONS,3,D_tianjin,5,5,2,7,5,3,2,2,0,2,0
cn-jjj-100c-01-V2-LOCATIONS,4,D_beijing,12,12,3,15,12,10,2,2,1,3,0
cn-jjj-100c-01-V2-LOCATIONS,4,D_tianjin,5,5,2,7,5,3,2,2,0,2,0
cn-jjj-100c-01-V2-LOCATIONS,5,D_beijing,12,12,3,15,12,10,2,2,1,3,0
cn-jjj-100c-01-V2-LOCATIONS,5,D_tianjin,5,5,2,7,5,3,2,2,0,2,0
cn-jjj-100c-02-V2-LOCATIONS,1,D_beijing,13,13,4,17,12,11,1,2,3,5,0
cn-jjj-100c-02-V2-LOCATIONS,1,D_tianjin,5,5,2,7,5,5,0,0,2,2,0
cn-jjj-100c-02-V2-LOCATIONS,2,D_beijing,13,13,4,17,12,11,1,2,3,5,0
