budget,category,instance,seed,lns_best_cost_naked,lns_best_cost_common,lns_cost_delta_common_minus_naked,lns_route_count_delta_common_minus_naked,lns_cost_fix_delta_common_minus_naked,a13_best_cost_naked,a13_best_cost_common,a13_cost_delta_common_minus_naked,a13_route_count_delta_common_minus_naked,a13_cost_fix_delta_common_minus_naked
4000,vanilla,e2-vanilla-150c-01,1,3757.471175284482,3757.471175284482,0.0,0,0.0,3757.471175284482,3757.471175284482,0.0,0,0.0
4000,vanilla,e2-vanilla-150c-01,2,3435.1201224295414,3435.1201224295414,0.0,0,0.0,3435.1201224295414,3435.1201224295414,0.0,0,0.0
4000,vanilla,e2-vanilla-150c-01,3,3659.1719704558836,3659.1719704558836,0.0,0,0.0,3659.1719704558836,3659.1719704558836,0.0,0,0.0
4000,vanilla,e2-vanilla-15c-01,1,647.3784356649101,647.3784356649101,0.0,0,0.0,647.3784356649101,647.3784356649101,0.0,0,0.0
4000,vanilla,e2-vanilla-15c-01,2,642.185285005708,642.185285005708,0.0,0,0.0,642.185285005708,642.185285005708,0.0,0,0.0
4000,vanilla,e2-vanilla-15c-01,3,644.386285554954,644.386285554954,0.0,0,0.0,644.386285554954,644.386285554954,0.0,0,0.0
4000,vanilla,e2-vanilla-25c-01,1,640.1754851140676,640.1754851140676,0.0,0,0.0,640.1754851140676,640.1754851140676,0.0,0,0.0
4000,vanilla,e2-vanilla-25c-01,2,640.1754851140676,640.1754851140676,0.0,0,0.0,640.1754851140676,640.1754851140676,0.0,0,0.0
4000,vanilla,e2-vanilla-25c-01,3,640.1754851140676,640.1754851140676,0.0,0,0.0,640.1754851140676,640.1754851140676,0.0,0,0.0
4000,vanilla,e2-vanilla-50c-01,1,1391.5523237466293,1391.5523237466293,0.0,0,0.0,1391.5523237466293,1391.5523237466293,0.0,0,0.0
4000,vanilla,e2-vanilla-50c-01,2,1414.4593867353233,1414.4593867353233,0.0,0,0.0,1414.4593867353233,1414.4593867353233,0.0,0,0.0
4000,vanilla,e2-vanilla-50c-01,3,1414.6385784001584,1414.6385784001584,0.0,0,0.0,1414.6385784001584,1414.6385784001584,0.0,0,0.0
8000,multidepot,e2-multidepot-100c-01,1,2492.08275914751,2492.08275914751,0.0,0,0.0,2492.08275914751,2492.08275914751,0.0,0,0.0
8000,multidepot,e2-multidepot-100c-01,2,2512.395001047942,2512.395001047942,0.0,0,0.0,2512.395001047942,2512.395001047942,0.0,0,0.0
8000,multidepot,e2-multidepot-100c-01,3,2470.5096283618755,2470.5096283618755,0.0,0,0.0,2470.5096283618755,2470.5096283618755,0.0,0,0.0
8000,multidepot,e2-multidepot-10c-01,1,371.9993673208387,371.9993673208387,0.0,0,0.0,371.9993673208387,371.9993673208387,0.0,0,0.0
8000,multidepot,e2-multidepot-10c-01,2,371.9993673208387,371.9993673208387,0.0,0,0.0,371.9993673208387,371.9993673208387,0.0,0,0.0
8000,multidepot,e2-multidepot-10c-01,3,371.9993673208387,371.9993673208387,0.0,0,0.0,371.9993673208387,371.9993673208387,0.0,0,0.0
8000,multidepot,e2-multidepot-150c-01,1,3619.950455171764,3619.950455171764,0.0,0,0.0,3619.950455171764,3619.950455171764,0.0,0,0.0
8000,multidepot,e2-multidepot-150c-01,2,3522.444684847065,3522.444684847065,0.0,0,0.0,3522.444684847065,3522.444684847065,0.0,0,0.0
8000,multidepot,e2-multidepot-150c-01,3,3549.3256372673836,3549.3256372673836,0.0,0,0.0,3549.3256372673836,3549.3256372673836,0.0,0,0.0
8000,multidepot,e2-multidepot-15c-01,1,621.371321439464,621.371321439464,0.0,0,0.0,621.371321439464,621.371321439464,0.0,0,0.0
8000,multidepot,e2-multidepot-15c-01,2,622.2834651918408,622.2834651918408,0.0,0,0.0,622.2834651918408,622.2834651918408,0.0,0,0.0
8000,multidepot,e2-multidepot-15c-01,3,621.371321439464,621.371321439464,0.0,0,0.0,621.371321439464,621.371321439464,0.0,0,0.0
8000,multidepot,e2-multidepot-20c-01,1,700.4933751651098,700.4933751651098,0.0,0,0.0,700.4933751651098,700.4933751651098,0.0,0,0.0
8000,multidepot,e2-multidepot-20c-01,2,705.750850756463,705.750850756463,0.0,0,0.0,705.750850756463,705.750850756463,0.0,0,0.0
