task_id,instance_id,region,arm,charge_timing_policy,seed,view,improvement_sequence,iteration,global_iteration,objective_before,objective_after,improvement_absolute,improvement_relative,objective_type
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,8,105,12105,1863379,1843499,19880,0.010668790407104512,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,9,146,12146,1843499,1767913,75586,0.04100137835713499,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,10,460,12460,1767913,1752169,15744,0.008905415594545659,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,11,500,12500,1752169,1742986,9183,0.005240932809563461,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,12,736,12736,1742986,1740244,2742,0.0015731623776668315,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,13,1220,13220,1740244,1728404,11840,0.006803643626985641,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,14,2835,14835,1728404,1726106,2298,0.001329550267182904,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,mechanism_ev,15,4501,16501,1726106,1724499,1607,0.0009309972852188684,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,cv_only,1,2,2,9223372036854775807,2592901,9223372036852182906,0.9999999999997189,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,cv_only,2,3,3,2592901,2528824,64077,0.024712474560347655,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,cv_only,3,16,16,2528824,2480282,48542,0.019195483750549663,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,cv_only,4,26,26,2480282,2443664,36618,0.014763643811469825,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,cv_only,5,42,42,2443664,2431633,12031,0.00492334461693588,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,cv_only,6,148,148,2431633,2410504,21129,0.00868922242789105,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,cv_only,7,236,236,2410504,2410319,185,7.674743539110493e-05,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,cv_only,8,294,294,2410319,2399860,10459,0.00433925965816143,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,cv_only,9,826,826,2399860,2398209,1651,0.000687956797479853,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,cv_only,10,1114,1114,2398209,2386368,11841,0.004937434560540804,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,cv_only,11,2611,2611,2386368,2385863,505,0.000211618660659211,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,cv_only,12,3006,3006,2385863,2381015,4848,0.002031969144917374,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,cv_only,13,3520,3520,2381015,2378717,2298,0.000965134616959574,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,cv_only,14,5754,5754,2378717,2378517,200,8.407893835206122e-05,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,naive_ev,1,4,6004,9223372036854775807,3110748,9223372036851665059,0.9999999999996627,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,naive_ev,2,7,6007,3110748,2029736,1081012,0.34750870208708645,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,naive_ev,3,44,6044,2029736,1985806,43930,0.02164320877197823,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,naive_ev,4,66,6066,1985806,1958877,26929,0.013560740575866927,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,naive_ev,5,89,6089,1958877,1932183,26694,0.013627195581958438,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,naive_ev,6,93,6093,1932183,1888257,43926,0.02273387148111747,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,naive_ev,7,168,6168,1888257,1878866,9391,0.004973369620766665,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,naive_ev,8,623,6623,1878866,1866970,11896,0.006331478668516009,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,naive_ev,9,696,6696,1866970,1834787,32183,0.01723809166724693,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,naive_ev,10,1867,7867,1834787,1826010,8777,0.004783661536734237,PyVRP integer proxy objective
T24__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,naive_ev,11,3733,9733,1826010,1823139,2871,0.0015722805461087289,PyVRP integer proxy objective
