budget,category,instance,seed,profile,route_count,cv_route_count,ev_route_count,charging_action_count,cost_fix,cost_km,cost_carbon,cost_fuel,cost_elec,cost_occ,cost_transship,route_count_delta_vs_lns,cost_fix_delta_vs_lns,cost_fix_delta_vs_a0
4000,multidepot,e2-multidepot-50c-01,1,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,7,4,3,3,560.0,373.2231118406212,19.773460725287244,212.3375541796893,37.780137118410046,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,1,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,7,5,2,3,560.0,375.4733834351729,22.418178298713933,244.1104587649854,27.849640227297495,2.609399468117495,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,1,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,7,4,3,4,560.0,383.95747215525046,20.344412615189682,218.33988378245698,38.43146180351768,0.20374433534367853,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,1,LNS_REFERENCE,7,4,3,5,560.0,411.69773140670833,20.806429698392176,221.8245384930612,62.655664849716075,11.154706756765535,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,2,A0_MAIN_LOCAL_SEARCH,7,5,2,2,560.0,376.03047238921374,22.426702405488335,243.74163765696787,25.280170190388624,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,2,A4_BALANCED_SELECTOR_LOCAL_SEARCH,7,4,3,3,560.0,366.75629899934233,19.844969216843054,213.8216365647873,34.703306218043906,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,2,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,7,3,4,5,560.0,372.75293238711987,16.278546689445747,170.8297939940933,66.10160332730482,8.809026045373695,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,2,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,7,3,4,5,560.0,367.18796387698154,16.29263594180501,171.00411525988423,67.66654051274008,11.573798140734757,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,2,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,7,4,3,3,560.0,393.1226396637222,21.565716812429944,232.55320281981432,35.62666158829788,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,2,LNS_REFERENCE,7,4,3,3,560.0,365.23720114364113,19.82761534522097,213.8216365647873,33.86151156193509,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,3,A0_MAIN_LOCAL_SEARCH,7,4,3,3,560.0,365.23720114364113,19.84335730345755,213.9959578305782,33.86151156193508,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,3,A4_BALANCED_SELECTOR_LOCAL_SEARCH,7,4,3,3,560.0,365.23720114364113,19.871619542291047,214.30892456403646,33.86151156193508,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,3,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,7,4,3,3,560.0,365.23720114364113,19.84335730345755,213.9959578305782,33.86151156193508,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,3,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,7,4,3,5,560.0,394.289115491725,19.30421011037804,205.25450110552984,59.05901546169693,9.30610076990488,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,3,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,7,5,2,3,560.0,399.9651950751688,23.230474304916825,251.412771618753,30.93892401085452,0.8412655208615476,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-50c-01,3,LNS_REFERENCE,7,4,3,5,560.0,382.6671989538014,18.59458251200292,197.29725064868987,54.737944178280145,6.496458330267244,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-75c-01,1,A0_MAIN_LOCAL_SEARCH,11,9,2,2,880.0,640.046335404311,42.35762842636166,465.76234216062795,20.392415824164782,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-75c-01,1,A4_BALANCED_SELECTOR_LOCAL_SEARCH,11,8,3,3,880.0,634.6495417925822,38.56995994758305,420.4101886629023,38.44880365033524,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-75c-01,1,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,11,8,3,3,880.0,635.7180651045006,38.37129218596913,417.58753243264573,40.38463073255426,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-75c-01,1,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,12,6,6,7,960.0,669.3686612696125,32.50424587863295,346.00084598119366,83.2578182281708,1.3742782876397328,0.0,1.0,80.0,80.0
4000,multidepot,e2-multidepot-75c-01,1,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,11,8,3,3,880.0,635.2938305229492,38.71396757859407,422.3312923042848,37.64347794751591,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-75c-01,1,LNS_REFERENCE,11,6,5,6,880.0,659.1399911421211,34.68649826645944,371.51034317072475,79.26114204239684,6.992697285494689,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-75c-01,2,A0_MAIN_LOCAL_SEARCH,12,7,5,6,960.0,660.6888807683006,34.80608558354809,373.9794372823619,72.07754452362147,4.129155018312176,0.0,1.0,80.0,0.0
4000,multidepot,e2-multidepot-75c-01,2,A4_BALANCED_SELECTOR_LOCAL_SEARCH,11,8,3,3,880.0,650.1410779974693,39.41089209185688,429.5201148618452,39.286340649654676,0.0,0.0,0.0,0.0,-80.0
4000,multidepot,e2-multidepot-75c-01,2,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,11,8,3,3,880.0,642.0279342793559,38.65058540394931,420.91612254551916,40.50421684880408,0.0,0.0,0.0,0.0,-80.0
4000,multidepot,e2-multidepot-75c-01,2,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,11,6,5,6,880.0,632.7724428597389,32.00318270942271,341.50271842067883,80.39207249495412,6.992697285494689,0.0,0.0,0.0,-80.0
