instance_id,seed,contractor,revenue_assignment,owned_customer_revenue_cny,actual_service_revenue_cny,actual_minus_owned_revenue_cny,actual_service_cost_cny,pre_settlement_profit_cny,standalone_profit_cny,pre_settlement_gain_over_standalone_cny,pre_settlement_below_standalone,customers_served,demand_served_kg,cost_fixed_cny,cost_distance_cny,cost_fuel_cny,cost_electricity_cny,cost_occupancy_cny,cost_cross_site_cny,cost_carbon_cny
cn-prd-200c-01-V2-LOCATIONS,7,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,32188.5,24793.5,-7395.0,2791.2955675895414,22002.204432410457,26952.4430493742,-4950.238616963743,True,61,16529.0,1700.0,543.5392439245713,494.330747272086,38.16262455077414,0.0,0.0,15.262951842109421
cn-prd-200c-01-V2-LOCATIONS,7,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,34063.5,33021.0,-1042.5,3341.4600734239375,29679.539926576064,28886.564308153458,792.9756184226062,False,79,22014.0,2210.0,567.3913999410746,513.7187196063614,35.363376999468144,0.0,0.0,14.986576877033352
cn-prd-200c-01-V2-LOCATIONS,8,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,8439.0,14688.0,6249.0,1788.7918094970537,12899.208190502946,6811.025385040664,6088.182805462282,False,37,9792.0,1020.0,462.3920578377606,254.75546446801246,41.26872674402526,0.0,0.0,10.375560447255388
cn-prd-200c-01-V2-LOCATIONS,8,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,7393.5,14788.5,7395.0,1849.4978546928573,12939.002145307142,6044.001115679948,6895.001029627194,False,37,9859.0,1020.0,430.331994371686,361.80650590537476,25.353705412422116,0.0,0.0,12.005649003374304
cn-prd-200c-01-V2-LOCATIONS,8,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,32188.5,19587.0,-12601.5,2169.6350193259923,17417.364980674007,26860.049067068154,-9442.684086394147,True,47,13058.0,1360.0,418.17129269228275,329.08792663648796,51.88678450995049,0.0,0.0,10.4890154872711
cn-prd-200c-01-V2-LOCATIONS,8,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,34063.5,33021.0,-1042.5,3565.3469193140722,29455.653080685926,28860.665223162992,594.9878575229341,False,79,22014.0,2380.0,597.3901194019643,528.0365895316892,44.331061971623626,0.0,0.0,15.589148408795005
cn-prd-200c-01-V2-LOCATIONS,9,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,8439.0,9166.5,727.5,1009.9775394138409,8156.5224605861595,6811.025385040664,1345.4970755454951,False,21,6111.0,680.0,193.66631298777207,118.75336046633186,13.178939174186905,0.0,0.0,4.37892678555008
cn-prd-200c-01-V2-LOCATIONS,9,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,7393.5,16561.5,9168.0,2154.330317689392,14407.169682310609,6044.001115679948,8363.16856663066,False,39,11041.0,1190.0,474.5579890841888,453.4287485767034,22.104321292856106,0.0,0.0,14.239258735643286
cn-prd-200c-01-V2-LOCATIONS,9,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,32188.5,21460.5,-10728.0,2439.4085277043205,19021.09147229568,26987.73092338413,-7966.639451088449,True,56,14307.0,1530.0,466.34374298121503,394.26817421466274,36.53517299836945,0.0,0.0,12.26143751007345
cn-prd-200c-01-V2-LOCATIONS,9,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,34063.5,34896.0,832.5,3670.0072820584855,31225.992717941514,28861.425134694542,2364.5675832469715,False,84,23264.0,2380.0,675.7572151145891,545.613836319287,51.74256379806498,0.0,0.0,16.8936668265444
cn-prd-200c-01-V2-LOCATIONS,10,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,8439.0,12396.0,3957.0,1421.4789530340151,10974.521046965985,6811.025385040664,4163.495661925321,False,30,8264.0,850.0,335.88161314342074,199.73869548830945,28.056912267749194,0.0,0.0,7.801732134535796
cn-prd-200c-01-V2-LOCATIONS,10,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,7393.5,12082.5,4689.0,1492.8184006953177,10589.681599304682,6044.001115679948,4545.680483624734,False,29,8055.0,850.0,338.78399352597364,272.9415265887683,21.800899871824846,0.0,0.0,9.291980708750913
cn-prd-200c-01-V2-LOCATIONS,10,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,32188.5,24585.0,-7603.5,2792.002664223009,21792.997335776992,27090.439740480317,-5297.442404703324,True,62,16390.0,1700.0,547.862369813253,489.4952253379179,39.48156604281496,0.0,0.0,15.163503029023039
cn-prd-200c-01-V2-LOCATIONS,10,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,34063.5,33021.0,-1042.5,3562.619445999062,29458.380554000938,28861.69332368933,596.687230311607,False,79,22014.0,2380.0,592.814552578738,540.2284287542486,33.82802659545344,0.0,0.0,15.74843807062173
cn-prd-200c-02-V2-LOCATIONS,1,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,8646.0,12294.0,3648.0,1406.6746386545046,10887.325361345494,7196.2899378185575,3691.035423526937,False,27,8196.0,850.0,330.19617317285304,190.93911881577975,27.98365676257072,0.0,0.0,7.5556899033014036
cn-prd-200c-02-V2-LOCATIONS,1,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,8644.5,12499.5,3855.0,1520.0719116835653,10979.428088316436,7234.483774373214,3744.9443139432215,False,32,8333.0,850.0,348.5278356591796,290.06539152396743,21.725806665081656,0.0,0.0,9.752877835336614
cn-prd-200c-02-V2-LOCATIONS,1,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,32188.5,29059.5,-3129.0,3448.478654230985,25611.021345769015,27146.264974119607,-1535.2436283505922,True,65,19373.0,2040.0,693.7416015573991,650.0440696403703,44.823168956347914,0.0,0.0,19.86981407686759
cn-prd-200c-02-V2-LOCATIONS,1,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,34477.5,30103.5,-4374.0,3087.0996566175263,27016.400343382473,28909.053250974757,-1892.6529075922845,True,76,20069.0,2040.0,535.485614145192,460.5299636896929,37.39197705402536,0.0,0.0,13.692101728615745
cn-prd-200c-02-V2-LOCATIONS,2,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,8646.0,12190.5,3544.5,1294.1038409900577,10896.396159009942,7192.57450910476,3703.8216499051823,False,26,8127.0,850.0,245.51768769928776,180.37833044839692,12.23024223201252,0.0,0.0,5.977580610360682
