instance_id,seed,n_clients,mother_cost,mother_cpu_seconds,mother_iterations,hybrid_cost,hybrid_cpu_seconds,cpu_ratio,hybrid_vs_mother,improvement_percent,epochs_run
PR19A,8,700,10861.917,240.07732916704845,5876,10696.331,480.41411033296026,2.0010807017878927,win,1.5244638676579774,4
PR19A,9,700,10781.96,240.0586921670474,5978,10670.234,480.4512157080462,2.0013906239800687,win,1.036230889374462,4
PR19A,10,700,10840.413,240.05355524993502,5885,10752.769,480.41165204090066,2.001268639994578,win,0.8084931819479593,4
PR19B,1,700,8224.388,240.07174587494228,6624,8189.606,480.3909435420064,2.001030741002945,win,0.42291292677340925,4
PR19B,2,700,8210.443,240.05913804110605,7006,8195.488,478.99988433299586,1.9953411823505558,win,0.1821460790848914,4
PR19B,3,700,8189.464,240.07395458302926,6798,8170.945,480.4127464579651,2.0011031487874917,win,0.22613201547745046,4
PR19B,4,700,8169.269,240.06628787505906,7071,8131.012,480.3898697079858,2.0010717621376375,win,0.4683038347739622,4
PR19B,5,700,8198.957,240.05892233294435,7272,8158.57,480.42674270796124,2.001286759263395,win,0.49258704491315936,4
PR19B,6,700,8191.689,240.06485474994406,7523,8168.532,480.3960369579727,2.001109397951491,win,0.2826889546221805,4
PR19B,7,700,8234.166,240.05461079103407,7137,8207.612,480.38682508305646,2.001156418117001,win,0.3224856044923079,4
PR19B,8,700,8237.07,240.06937791709788,7186,8176.594,480.3788830830017,2.0010002410590193,win,0.734193105072552,4
PR19B,9,700,8198.646,240.05939412501175,6958,8145.154,480.36559166701045,2.0010280931428928,win,0.652449197099133,4
PR19B,10,700,8193.288,240.05586612503976,7574,8184.853,476.94240537506994,1.9867975445625696,win,0.10295012209994815,4
PR20A,1,880,12074.385,240.0890710420208,3967,11928.333,480.6212258329615,2.0018454973689424,win,1.2096019797281574,4
PR20A,2,880,12185.169,240.11977300001308,3835,12007.465,480.6468154590111,2.0016961096285266,win,1.4583630313211062,4
PR20A,3,880,12070.846,240.10930654103868,3998,11951.681,480.74018658301793,2.0021722335900023,win,0.9872133237388585,4
PR20A,4,880,12004.104,240.09336629195604,4048,11946.357,480.5532859170344,2.0015267116238293,win,0.4810604773167526,4
PR20A,5,880,12115.617,240.11401125008706,3894,11925.775,480.63287904206663,2.0016861012807405,win,1.566919786256041,4
PR20A,6,880,12130.468,240.0793344589183,3828,11924.648,480.65382999996655,2.0020624893985395,win,1.69671936812332,4
PR20A,7,880,12061.498,240.10699224995915,3814,11941.96,480.63064045796636,2.001735292896486,win,0.9910709266792604,4
PR20A,8,880,12180.537,240.0980270000873,3706,11949.172,480.67271212500054,2.001985264647034,win,1.8994646951936502,4
PR20A,9,880,12106.349,240.22787795797922,3771,11944.486,480.74130304099526,2.001188651073573,win,1.3370092007094738,4
PR20A,10,880,12165.512,240.12937999994028,3728,11976.835,480.7268324169563,2.001949250929128,win,1.550917051415522,4
PR20B,1,880,10240.207,240.10098379198462,4472,10199.101,480.57430500001647,2.0015507533962036,win,0.4014176666545878,4
PR20B,2,880,10307.885,240.09279779193457,4289,10221.515,480.54641470790375,2.001502831935622,win,0.8379022466781575,4
PR20B,3,880,10230.646,240.0897245829692,4772,10193.248,480.6058029580163,2.001775810242685,win,0.3655487639783553,4
PR20B,4,880,10334.423,240.078244040953,4427,10263.903,480.59119120799005,2.0018106727155582,win,0.6823796548680118,4
PR20B,5,880,10283.882,240.07330904190894,4122,10195.4,480.5596674999688,2.0017205136955845,win,0.8603949364646538,4
PR20B,6,880,10285.363,240.08913720899727,4627,10220.35,480.59810395899694,2.0017486403003604,win,0.6320924210453147,4
PR20B,7,880,10228.787,240.12797874992248,4524,10141.893,480.61167791695334,2.0014813784672665,win,0.8495044427066497,4
PR20B,8,880,10223.681,240.11225345893763,4348,10166.632,480.6264263750054,2.0016738814922617,win,0.5580084120386863,4
PR20B,9,880,10321.508,240.1150322080357,4199,10179.748,480.6145905830199,2.0016014247979914,win,1.3734427178664224,4
PR21A,1,420,6247.48,240.03056354098953,14801,6247.48,299.5263331660535,1.2478674746555933,tie,0.0,2
PR20B,10,880,10237.648,240.10524520801846,4191,10166.401,480.604879416991,2.0016425672026132,win,0.6959313311026067,4
PR21A,2,420,6253.356,228.43387612502556,14263,6239.388,345.2924828749383,1.5115642597858565,win,0.2233680602863462,3
PR21A,3,420,6238.078,240.0167730419198,15609,6235.479,320.8279776669806,1.3366898221356671,win,0.041663473909754896,3
PR21A,4,420,6278.93,191.84508166695014,12957,6234.884,368.9964287499897,1.9234083331392389,win,0.7014889479576978,4
PR21A,7,420,6234.989,224.6137673750054,15495,6234.394,339.8878913340159,1.5132104113927878,win,0.009542919803055711,3
PR21A,5,420,6283.602,240.02875475003384,14674,6242.497,419.73274270794354,1.7486769164180083,win,0.6541630103243261,4
PR21A,9,420,6246.897,224.82156712503638,14570,6244.966,302.15650312497746,1.3439836177146236,win,0.03091134686548514,3
PR21A,6,420,6294.222,240.03296187508386,15055,6248.908,432.9628780410858,1.8037642607868376,win,0.7199301200370657,4
PR21A,8,420,6261.617,240.0181375000393,15973,6238.098,413.8820962921018,1.724378418243638,win,0.37560585388726636,4
PR21A,10,420,6261.859,220.31495579099283,15732,6245.706,322.91391316603404,1.465692204175073,win,0.25795853914948014,3
PR21B,1,420,4855.506,227.92131183296442,15747,4855.506,285.4889294159366,1.2525767209744803,tie,0.0,2
PR21B,2,420,4854.834,140.51744554098696,8653,4844.09,296.23986229102593,2.108206999853388,win,0.22130519807679702,4
PR21B,4,420,4831.995,240.016990041011,16061,4831.995,299.3379310829332,1.247153091253191,tie,0.0,2
PR21B,3,420,4829.522,230.47771166602615,15951,4828.802,330.117096333066,1.4323167908375556,win,0.014908307695880765,3
PR21B,5,420,4857.459,240.02747733402066,16695,4857.086,349.16130024997983,1.454672207232713,win,0.007678911957869177,3
PR21B,7,420,4851.774,198.33985508303158,14777,4851.774,251.7261545410147,1.2691657681994062,tie,0.0,2
PR21B,6,420,4861.533,235.00910529098473,15450,4850.346,383.95833766600117,1.6338019635051575,win,0.2301126002847416,4
PR21B,8,420,4865.823,240.03069174999837,14545,4854.441,406.4308094169246,1.6932451698311926,win,0.23391726332833143,4
PR21B,9,420,4839.169,196.5514100000728,12841,4822.912,378.65904866706114,1.926514028400615,win,0.3359461097556132,4
PR21B,10,420,4858.191,240.02400500001386,16212,4848.554,382.6847059999127,1.594360139103131,win,0.19836601730972941,4
PR22A,1,600,8030.399,240.05359837494325,8428,7942.135,468.9373967499705,1.9534695581506356,win,1.0991234682112323,4
PR22A,2,600,8013.04,240.08012425003108,8050,7956.6,461.45529004209675,1.92208868386587,win,0.7043519063925751,4
PR22A,3,600,8002.779,240.05125275009777,8050,7956.67,473.77203991706483,1.9736286917455874,win,0.5761623556017276,4
PR22A,4,600,8009.047,240.04610795807093,8206,7956.511,468.646211833111,1.9523174769197669,win,0.655958193278166,4
PR22A,5,600,7965.081,240.04509241692722,7695,7948.993,470.6823272089241,1.9608079568292522,win,0.20198162454342572,4
PR22A,6,600,8033.238,240.03713591606356,7575,7974.143,480.32094579108525,2.0010276491511063,win,0.7356311365354824,4
PR22A,7,600,7957.46,240.05418441595975,8179,7936.795,469.2010625000112,1.9545631484889743,win,0.25969341975957105,4
PR22A,8,600,8067.346,240.05289774993435,7613,7959.397,480.34121999994386,2.0009807192593043,win,1.3380980560397386,4
PR22A,9,600,7986.896,240.06213129195385,8237,7957.216,455.36714558303356,1.8968720436345476,win,0.37160869504247185,4
PR22B,1,600,6453.895,240.06408012507018,8699,6432.559,453.8831355420407,1.8906749202361872,win,0.3305910616767121,4
