episode_index,bundle,seed,policy_version,curriculum_phase,accepted_for_update,block_steps,reward_sum,reward_finite,best_obj,actual_evals,candidate_scores,repair_delta_count,violation_count,feasible,wall_time_seconds,worker_python_executable,worker_python_version,worker_numpy_version,pid,mask_invalid_rate_head_0,mask_invalid_rate_head_1,mask_invalid_rate_head_2,mask_invalid_rate_head_3,mask_invalid_rate_head_4
50,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260671,3,energy,1,24,51.42622173530366,1,3576.3259932680367,1500,1500,582532,0,1,232.34399999999732,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,41236,0.27380952380952384,0.0,0.08333333333333333,0.0,0.0
48,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260669,3,energy,1,24,44.88440350876424,1,3655.385480637919,1500,1500,991140,0,1,319.42200000000594,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,4704,0.2916666666666667,0.0,0.06666666666666667,0.0,0.0
47,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260668,3,energy,1,24,46.923025879519805,1,3654.353962943095,1500,1500,1483687,0,1,515.1720000000059,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,40528,0.24404761904761904,0.0,0.08333333333333333,0.0,0.0
49,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260670,3,energy,1,24,46.58844784146953,1,3640.6818797014457,1500,1500,1127938,0,1,388.2969999999914,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,30164,0.26785714285714285,0.0,0.06666666666666667,0.0,0.0
52,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260673,3,energy,1,24,45.37353715606465,1,3731.2580908369046,1500,1500,1099773,0,1,369.5320000000065,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,19128,0.27380952380952384,0.0,0.06666666666666667,0.0,0.0
51,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260672,3,energy,1,24,44.05559336837042,1,3680.0197536641235,1500,1500,1012199,0,1,389.7659999999887,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,25592,0.26785714285714285,0.0,0.08333333333333333,0.0,0.0
55,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260676,4,energy,1,24,45.87316146375863,1,3639.280207643753,1500,1500,550177,0,1,197.76499999999942,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,40528,0.2857142857142857,0.0,0.05,0.0,0.0
54,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260675,4,energy,1,24,45.107760060497164,1,3661.2799624644263,1500,1500,734842,0,1,286.06299999999464,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,4704,0.27976190476190477,0.0,0.06666666666666667,0.0,0.0
56,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260677,4,energy,1,24,49.245188945639555,1,3565.9931238837116,1500,1500,1054467,0,1,350.2030000000086,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,30164,0.26785714285714285,0.0,0.08333333333333333,0.0,0.0
59,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260680,4,energy,1,24,39.8859047410419,1,3790.7882505916923,1500,1500,507546,0,1,235.01499999999942,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,40528,0.27976190476190477,0.0,0.06666666666666667,0.0,0.0
57,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260678,4,energy,1,24,43.0249117253957,1,3688.816732467284,1500,1500,761569,0,1,290.2649999999994,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,19128,0.27380952380952384,0.0,0.1,0.0,0.0
53,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260674,3,energy,1,24,46.345010993626026,1,3597.2322800064103,1500,1500,1815861,0,1,579.9679999999935,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,41236,0.2916666666666667,0.0,0.06666666666666667,0.0,0.0
58,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260679,4,energy,1,24,45.44699474620725,1,3640.050276980937,1500,1500,908104,0,1,300.35899999999674,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,25592,0.27380952380952384,0.0,0.05,0.0,0.0
60,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260681,4,energy,1,24,45.80835196749755,1,3669.2078093835926,1500,1500,1118909,0,1,352.7810000000027,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,4704,0.26785714285714285,0.0,0.08333333333333333,0.0,0.0
