battery_kwh,category,cv_shell_composition,cv_shell_cost,cv_shell_ev_customer_share,cv_shell_ev_demand_share,cv_shell_ev_distance_share,cv_shell_ev_route_share,ev_shell_composition,ev_shell_cost,ev_shell_ev_customer_share,ev_shell_ev_demand_share,ev_shell_ev_distance_share,ev_shell_ev_route_share,free_mixed_composition,free_mixed_cost,free_mixed_ev_customer_share,free_mixed_ev_demand_share,free_mixed_ev_distance_share,free_mixed_ev_route_share,instance,phase,seed,size,winner_composition,winner_cv_route_count,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_status,winner_total_cost,winner_total_customer_count,winner_total_demand,winner_total_distance_m,winner_variant
82.6,multidepot,all_cv,2426.9046973084396,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,2349.643509825159,0.62,0.6726195623973017,0.5550526542922062,0.7058823529411765,e2-multidepot-50c-01,stage_a,1,50,balanced_mixed,5,0.62,0.6726195623973017,0.5550526542922062,12,0.7058823529411765,17,OK,2349.643509825159,50.0,23126.0,1811466.5470549932,free_mixed
82.6,multidepot,all_cv,4257.4366557039775,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,4090.363961772915,0.68,0.7039570904712386,0.5432580291818909,0.7037037037037037,e2-multidepot-75c-01,stage_a,1,75,balanced_mixed,8,0.68,0.7039570904712386,0.5432580291818909,19,0.7037037037037037,27,OK,4090.363961772915,75.0,36542.0,3519117.4151842664,free_mixed
82.6,threeshift,all_cv,5107.53757812103,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,5053.356142508022,0.4,0.409254753536992,0.3385478464638113,0.4375,e2-threeshift-100c-01,stage_a,1,100,balanced_mixed,18,0.4,0.409254753536992,0.3385478464638113,14,0.4375,32,OK,5053.356142508022,100.0,44388.0,4197097.6163271675,free_mixed
82.6,threeshift,all_cv,8525.481461998606,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,7811.024207575058,0.6533333333333333,0.7145836562715782,0.5309447472715825,0.7407407407407407,e2-threeshift-150c-01,stage_a,1,150,balanced_mixed,14,0.6533333333333333,0.7145836562715782,0.5309447472715825,40,0.7407407407407407,54,OK,7811.024207575058,150.0,70963.0,6278235.142059277,free_mixed
82.6,threeshift,all_cv,9537.791917774082,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,10816.536331919882,0.375,0.41705021263569875,0.29487935021459044,0.4262295081967213,e2-threeshift-200c-01,stage_a,1,200,all_cv,64,0.0,0.0,0.0,0,0.0,64,OK,9537.791917774082,200.0,91471.0,6860645.369830304,cv_shell
82.6,threeshift,all_cv,2462.8943357576422,0.0,0.0,0.0,0.0,,,,,,,ev_heavy_mixed,2489.789082950822,0.8,0.8018989880978915,0.7434424921131841,0.8333333333333334,e2-threeshift-50c-01,stage_a,1,50,all_cv,15,0.0,0.0,0.0,0,0.0,15,OK,2462.8943357576422,50.0,22433.0,1960323.997192305,cv_shell
82.6,threeshift,all_cv,3960.5538278976487,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,4014.4094250900994,0.4,0.45473774474774903,0.2850956674068501,0.48,e2-threeshift-75c-01,stage_a,1,75,all_cv,26,0.0,0.0,0.0,0,0.0,26,OK,3960.5538278976487,75.0,34985.0,2922079.9653189136,cv_shell
82.6,vanilla,all_cv,5826.874187184658,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,5739.8639904745705,0.37,0.405461245180941,0.2846189304277708,0.42424242424242425,e2-vanilla-100c-01,stage_a,1,100,balanced_mixed,19,0.37,0.405461245180941,0.2846189304277708,14,0.42424242424242425,33,OK,5739.8639904745705,100.0,46949.0,5129080.947813224,free_mixed
82.6,vanilla,all_cv,725.5299337929874,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,710.5876196728672,0.2,0.2616822429906542,0.13513895558375247,0.25,e2-vanilla-10c-01,stage_a,1,10,balanced_mixed,3,0.2,0.2616822429906542,0.13513895558375247,1,0.25,4,OK,710.5876196728672,10.0,5671.0,631302.9144218598,free_mixed
82.6,vanilla,all_cv,7592.641707650496,0.0,0.0,0.0,0.0,,,,,,,balanced_mixed,7579.731846409695,0.6933333333333334,0.7449148583803983,0.605138011117393,0.7777777777777778,e2-vanilla-150c-01,stage_a,1,150,balanced_mixed,12,0.6933333333333334,0.7449148583803983,0.605138011117393,42,0.7777777777777778,54,OK,7579.731846409695,150.0,70647.0,5891392.515174334,free_mixed
