instance_id,source,source_kind,source_objective,route_first,route_second,source_adjacent,fallback_columns,fallback_objective,generated_segments,generated_options_before_dedup,columns_after_dedup,selected_routes,mip_status_class,mip_gap,mip_seconds,local_delta,exact_evaluated,candidate_objective,exact_improvement
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,0,6,False,2,557.4577653665956,98,724,364,2,OPTIMAL,0.0,0.008140584046486765,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,0,7,False,2,589.3077221381062,86,556,280,2,OPTIMAL,0.0,0.00811733299633488,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,0,8,False,2,582.566095975352,128,892,448,2,OPTIMAL,0.0,0.01628537499345839,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,0,9,False,2,602.0927605034419,112,740,372,2,OPTIMAL,0.0,0.011118291993625462,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,0,10,False,2,589.9144893518678,128,856,430,2,OPTIMAL,0.0,0.01189183397218585,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,0,11,False,2,577.9050794281534,112,740,372,2,OPTIMAL,0.0,0.00978154200129211,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,0,12,False,2,584.8516454309544,98,640,322,2,OPTIMAL,0.0,0.010481541976332664,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,0,13,False,2,599.0723670926413,128,868,436,2,OPTIMAL,0.0,0.011986833007540554,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,0,14,False,2,571.4200373258024,86,568,286,2,OPTIMAL,0.0,0.00814591598464176,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,1,2,True,2,599.2515857493999,86,556,280,2,OPTIMAL,0.0,0.008635625010356307,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,1,3,False,2,612.9057858659962,98,652,328,2,OPTIMAL,0.0,0.012611583049874753,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,1,4,False,2,611.9824408041757,128,832,418,2,OPTIMAL,0.0,0.016643500013742596,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,1,5,False,2,626.9802680473224,112,740,372,2,OPTIMAL,0.0,0.011848625028505921,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_2,parent,4312.448489640502,1,6,False,2,551.6874030841889,98,712,358,2,OPTIMAL,0.0,0.008385375025682151,0.0,False,,False
