package_path,solution_total,prefilter_pass_count,unable_count,overlap_solution_count,overlap_action_count,overlap_energy_kwh,total_charging_kwh,overlap_energy_ratio,overlap_midday_12_15_kwh,skipped_no_multitrip_count,solution_status_counts,unable_reason_counts
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-150c-01-V2-LOCATIONS__seed5,4,0,0,0,0,0.000000000000,132.921454514033,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-150c-02-V2-LOCATIONS__seed1,4,0,0,0,0,0.000000000000,218.741604174438,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-150c-02-V2-LOCATIONS__seed2,4,0,0,0,0,0.000000000000,204.635968450744,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-150c-02-V2-LOCATIONS__seed3,4,0,0,0,0,0.000000000000,230.670474418677,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-150c-02-V2-LOCATIONS__seed4,4,0,0,0,0,0.000000000000,212.824830995508,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-150c-02-V2-LOCATIONS__seed5,4,0,0,0,0,0.000000000000,222.353698239626,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-150c-03-V2-LOCATIONS__seed1,4,0,0,0,0,0.000000000000,304.307717511807,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-150c-03-V2-LOCATIONS__seed2,4,0,0,0,0,0.000000000000,277.472376102950,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-150c-03-V2-LOCATIONS__seed3,4,0,0,0,0,0.000000000000,389.871950933250,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-150c-03-V2-LOCATIONS__seed4,4,0,0,0,0,0.000000000000,387.587577862673,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-150c-03-V2-LOCATIONS__seed5,4,0,0,0,0,0.000000000000,159.109782381313,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-15c-01-V2-LOCATIONS__seed1,4,0,0,0,0,0.000000000000,146.847717080750,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-15c-01-V2-LOCATIONS__seed2,4,0,0,0,0,0.000000000000,146.847717080750,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-15c-01-V2-LOCATIONS__seed3,4,0,0,0,0,0.000000000000,146.847717080750,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-15c-01-V2-LOCATIONS__seed4,4,0,0,0,0,0.000000000000,146.847717080750,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
