status,channel,error_type,error,count
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C034's time window,95
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C035's time window,111
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C036's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C037's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C038's time window,95
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C039's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C040's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C041's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C042's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C043's time window,95
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C044's time window,155
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C045's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C046's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C047's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C048's time window,95
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C049's time window,95
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_1#T2 misses C050's time window,95
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_2#T1 misses C001's time window,502
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_2#T1 misses C007's time window,24
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_2#T1 misses C021's time window,491
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_2#T1 misses C022's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_2#T1 misses C023's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_2#T1 misses C024's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_2#T1 misses C025's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_2#T1 misses C026's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_2#T1 misses C027's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_2#T1 misses C028's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_2#T1 misses C029's time window,171
REJECTED_INTERFACE,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_chengdu_2#T1 misses C030's time window,171
