task_id,phase,budget,instance_id,sample_role,seed,arm,complete_candidate_evaluations_S,last_strict_improvement_evaluation_L,last_strict_improvement_fraction_L_over_S,starved_L_over_S_gt_0_5,wallclock_safety_triggered,elapsed_wall_seconds,elapsed_cpu_seconds,common_initial_solution_sha256,status,scientific_endpoints
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,NL90_mild,56,55,0.9821428571428571,1,0,61.41284879203886,58.977251,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,L100_control,56,26,0.4642857142857143,0,0,61.9686890830053,59.430321,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,NL90_mild,56,26,0.4642857142857143,0,0,62.2262899170164,59.66454,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,4,L100_control,56,55,0.9821428571428571,1,0,63.20943695900496,60.63565,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,4,NL90_mild,56,55,0.9821428571428571,1,0,63.65602075000061,60.936699,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,5,L100_control,56,55,0.9821428571428571,1,0,66.52624495798955,62.049222,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,5,NL90_mild,56,55,0.9821428571428571,1,0,66.89742912497604,62.41527900000001,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,6,L100_control,56,55,0.9821428571428571,1,0,65.96819479204714,61.68185799999999,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,6,NL90_mild,56,55,0.9821428571428571,1,0,66.94288983399747,62.35015200000001,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,56,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,7,L100_control,56,31,0.5535714285714286,1,0,70.74340799998026,65.91665600000002,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
