arm,completed_stage_count,execution_status,feasible_cross_candidate_count,full_day_actual_total_emissions_kg,full_day_completed_customer_count,full_day_completed_demand,full_day_cross_site_customer_count,full_day_depot_profit_json,full_day_execution_solution_sha256,full_day_net_profit,full_day_predicted_total_emissions_kg,full_day_total_cost,full_day_total_revenue,minimum_stage_bilateral_profit_ratio,network,responsibility_condition,stream_seed
no_participation,3,PASS,5,3509.580594457782,222,97496.3498175205,2,"{""D0"": 4222.977397691584, ""D1"": 3633.0402577930936}",9d1453aa07402f98f3b7d6cae5977538d2a756fee5576e6b026970f186fb411f,7856.017655484678,3488.058811717679,10605.891145961,18461.90880144568,0.995636897310092,N221,historical_mixed,4
simple_insertion,3,PASS,0,3533.211680222508,222,97496.3498175205,0,"{""D0"": 4218.5232662311355, ""D1"": 3499.8074518098283}",35cf60ac305795b69be8391e9cd0ebf3a27966528f2b40502a6347376d2eb511,7718.330718040964,3511.6536941822014,10743.578083404716,18461.90880144568,0.9869623510059546,N221,historical_mixed,4
full,3,PASS,3,3508.161303703824,221,97372.73898452878,0,"{""D0"": 4135.685062916345, ""D1"": 3665.700719862407}",b1669c858dfb6fa32041df66c6a114038157344537fb97a4bf03e37cfdb9bea2,7801.3857827787515,3485.1978256070356,10637.116071331619,18438.50185411037,1.0,N221,historical_mixed,5
no_cooperation,3,PASS,0,3507.565511152409,221,97372.73898452878,0,"{""D0"": 4135.685062916345, ""D1"": 3666.6500542488575}",9c3ddf53b4c6062b4b1b825d55dbbf569feba6248a2f245c446940d6a0a9d01a,7802.335117165202,3484.6020330556203,10636.166736945168,18438.50185411037,1.0,N221,historical_mixed,5
no_participation,3,PASS,3,3508.2182782065993,221,97372.73898452878,0,"{""D0"": 4135.685062916345, ""D1"": 3665.700719862407}",1688ad5247b546477cb92207c9d252c243dc133ce9830e3bc66fb7d270ff273c,7801.3857827787515,3485.25074008504,10637.116071331619,18438.50185411037,0.9956420554609492,N221,historical_mixed,5
simple_insertion,3,PASS,0,3569.521831191502,221,97372.73898452878,0,"{""D0"": 4131.628976545141, ""D1"": 3426.0168361801498}",40752838209408c32e1b8b19eae0bb2222affc7f74d40149f8a16bb5d6804af5,7557.645812725291,3546.3576052330195,10880.856041385076,18438.501854110367,0.9561305358541914,N221,historical_mixed,5
full,3,PASS,5,3780.04470769773,323,147111.6225845676,0,"{""D0"": 5946.624773666308, ""D1"": 7963.755429161332}",dff28ea48b8512169da8a5c92defcb42c87d2714c7f0131b77fb441064b6e5c8,13910.38020282764,3756.0516948570717,13946.676649786084,27857.056852613725,1.0,N322,geographic,1
no_cooperation,3,PASS,0,3780.04470769773,323,147111.6225845676,0,"{""D0"": 5946.624773666308, ""D1"": 7963.755429161332}",dff28ea48b8512169da8a5c92defcb42c87d2714c7f0131b77fb441064b6e5c8,13910.38020282764,3756.0516948570717,13946.676649786084,27857.056852613725,1.0,N322,geographic,1
no_participation,3,PASS,5,3780.04470769773,323,147111.6225845676,0,"{""D0"": 5946.624773666308, ""D1"": 7963.755429161332}",dff28ea48b8512169da8a5c92defcb42c87d2714c7f0131b77fb441064b6e5c8,13910.38020282764,3756.0516948570717,13946.676649786084,27857.056852613725,1.0,N322,geographic,1
simple_insertion,3,PASS,0,3780.04470769773,323,147111.6225845676,0,"{""D0"": 5946.624773666308, ""D1"": 7963.755429161332}",dff28ea48b8512169da8a5c92defcb42c87d2714c7f0131b77fb441064b6e5c8,13910.38020282764,3756.0516948570717,13946.676649786084,27857.056852613725,1.0,N322,geographic,1
