actual_evals,algorithm,best_obj,bundle,candidate_scores,current_obj,eval_budget,feasible,pomo_group,pomo_rollout,repair_delta_count,reward_sum,scale,seed,steps,violation_count,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
120,learned_destroy,599.496443728531,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,600.7498028736951,120,True,18,1,26772,62.0,25c,74,120,0,5.719000000040978,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,589.9029797457634,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,589.9029797457634,120,True,18,2,27752,103.0,25c,75,120,0,6.437999999965541,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,599.496443728531,models/data_bundle/generated_instances/E-UK25_02__curric_d2_s3_seed2_24h,120,600.0497211379757,120,True,18,3,30788,87.0,25c,76,120,0,6.375,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,506.07627865221764,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,506.07627865221764,120,True,19,0,21651,59.0,25c,77,120,0,5.219000000040978,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,491.88938393395927,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,491.88938393395927,120,True,19,1,29604,144.0,25c,78,120,0,6.375,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,506.07627865221764,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,506.07627865221764,120,True,19,2,25362,86.0,25c,79,120,0,5.780999999959022,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,489.4663717664625,models/data_bundle/generated_instances/E-UK25_03__curric_d2_s3_seed3_24h,120,489.4663717664625,120,True,19,3,27766,104.0,25c,80,120,0,6.281000000075437,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,471.53933335579967,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,471.53933335579967,120,True,20,0,26944,47.0,25c,81,120,0,6.25,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,470.91713693960816,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,470.91713693960816,120,True,20,1,21451,41.0,25c,82,120,0,6.625,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,476.6538579805703,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,476.83996476700486,120,True,20,2,23475,48.0,25c,83,120,0,5.577999999979511,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,476.6538579805703,models/data_bundle/generated_instances/E-UK25_04__curric_d2_s3_seed4_24h,120,476.6538579805703,120,True,20,3,24235,44.0,25c,84,120,0,5.547000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,597.1432059537052,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,120,598.7624001351686,120,True,21,0,30025,148.0,25c,85,120,0,6.297000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,597.2421416251854,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,120,597.2421416251854,120,True,21,1,34242,81.0,25c,86,120,0,7.092999999993481,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,594.9478205382253,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,120,595.9058410162916,120,True,21,2,28834,89.0,25c,87,120,0,6.563000000081956,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,586.3481724256338,models/data_bundle/generated_instances/E-UK25_05__curric_d2_s3_seed5_24h,120,586.3481724256338,120,True,21,3,24971,129.0,25c,88,120,0,5.530999999959022,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,522.9376424710698,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,120,522.9376424710698,120,True,22,0,24860,119.0,25c,89,120,0,6.030999999959022,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,538.3839839512273,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,120,540.1804308207311,120,True,22,1,29692,87.0,25c,90,120,0,6.187999999965541,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,538.9090933051975,models/data_bundle/generated_instances/E-UK25_06__curric_d2_s3_seed6_24h,120,541.6222694143089,120,True,22,2,29808,133.0,25c,91,120,0,6.297000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
