arm,completed_stage_count,execution_status,feasible_cross_candidate_count,full_day_actual_total_emissions_kg,full_day_completed_customer_count,full_day_completed_demand,full_day_cross_site_customer_count,full_day_depot_profit_json,full_day_execution_solution_sha256,full_day_net_profit,full_day_predicted_total_emissions_kg,full_day_total_cost,full_day_total_revenue,minimum_stage_bilateral_profit_ratio,network,responsibility_condition,stream_seed
simple_insertion,3,PASS,0,3489.5734734272464,221,97232.54246947868,0,"{""D0"": 4307.499848190219, ""D1"": 3524.0019417300464}",d78b9e821c31e7a0d833668511ece2087b6ae2bb629a3aca2e297e0a4adfcce7,7831.501789920266,3467.56255664953,10580.452452100215,18411.95424202048,0.9563372941051536,N221,historical_mixed,1
full,3,PASS,101,3270.5358777220695,221,96592.08526294978,2,"{""D0"": 4074.1281244382653, ""D1"": 3706.3530226828625}",fcc58a03c25d4699e03152cf3c0de433665a2a2809391acc87150017cdf3ac23,7780.481147121128,3245.652270713395,10510.196118271037,18290.677265392165,1.0,N221,historical_mixed,2
no_cooperation,3,PASS,0,3363.5092952623904,221,96592.08526294978,0,"{""D0"": 4071.351096572236, ""D1"": 3783.1974636011128}",184f2325ce7889114c2eb1e3fec0094dbadcbe90c7f4b2296fa5dd56c53e2ace,7854.548560173349,3340.209460455969,10436.12870521882,18290.67726539217,1.0,N221,historical_mixed,2
no_participation,3,PASS,101,3439.6441050393337,221,96592.08526294978,0,"{""D0"": 4179.401885602347, ""D1"": 3518.7794609849243}",4dcaf404d44dff9533c58c64b358f25e4e10e91b91a71516e678db03c897071b,7698.181346587271,3416.010517797156,10592.495918804894,18290.677265392165,0.9883264985022849,N221,historical_mixed,2
simple_insertion,3,PASS,0,3371.424650644419,221,96592.08526294978,0,"{""D0"": 4059.1467651909297, ""D1"": 3626.3263407200657}",849fbe42e45959853bdb3f6e17b046b52842a4624ae76b90516c3fea96bfa16b,7685.473105910995,3347.260774139454,10605.20415948117,18290.677265392165,0.9942288816354484,N221,historical_mixed,2
full,3,PASS,81,3314.540318526935,221,96965.54982996854,2,"{""D0"": 4280.925886581728, ""D1"": 3774.240786688222}",1aabb7ddbfa30452aebee4563ee75e329603169fff8b14ccd536a29064f5d1e4,8055.1666732699505,3290.7920881330156,10306.229842532885,18361.396515802837,1.0,N221,historical_mixed,3
no_cooperation,3,PASS,0,3328.0751842892278,221,96965.54982996854,0,"{""D0"": 4266.747811121574, ""D1"": 3716.399595061146}",b0081d7303b1e6d348a94bf8267ae200c7eed178a306884565f97e5cd9c929ad,7983.14740618272,3304.0165959654914,10378.249109620117,18361.396515802837,1.0,N221,historical_mixed,3
no_participation,3,PASS,81,3497.2793289177766,221,96965.54982996854,1,"{""D0"": 4057.57879441362, ""D1"": 3875.2085690949007}",35af2e2721703fedcf5655b4208550df3c69256d1f69f63fe43c21279adb7bdd,7932.787363508521,3474.9826174280565,10428.609152294319,18361.39651580284,0.9954694393381082,N221,historical_mixed,3
simple_insertion,3,PASS,0,3339.520849611483,221,96965.54982996854,0,"{""D0"": 4223.793727368969, ""D1"": 3654.0329028463175}",57c76e9669e79be68997e8773c57018afff44d31e133272acdadbe54c1a345d1,7877.826630215286,3315.6386327341725,10483.569885587549,18361.396515802837,0.962782518507333,N221,historical_mixed,3
full,3,PASS,101,3485.2289180360904,222,97496.3498175205,5,"{""D0"": 4237.697241941125, ""D1"": 3738.782878036919}",10379de19f9e70c96307537da26c56905ab739acafad32e7827eac176b276f2c,7976.480119978044,3463.744378226548,10485.428681467638,18461.90880144568,1.0,N221,historical_mixed,4
no_cooperation,3,PASS,0,3485.1496051109425,222,97496.3498175205,0,"{""D0"": 4324.204658272887, ""D1"": 3768.9947808592988}",cead08c6b3cd32deaf0f09cc116aa63eb39e75b983767d872ba8d686fe5f71f2,8093.199439132186,3463.576067447623,10368.709362313492,18461.90880144568,1.0,N221,historical_mixed,4
no_participation,3,PASS,101,3482.5941071981706,222,97496.3498175205,4,"{""D0"": 4221.641238718141, ""D1"": 3758.2184283928027}",a693cd7c7b9455e508d5353b50da1513b07ef62c99d01135f728871140a978e0,7979.8596671109435,3461.0723244580677,10482.049134334738,18461.90880144568,0.9942822258490772,N221,historical_mixed,4
simple_insertion,3,PASS,0,3533.211680222508,222,97496.3498175205,0,"{""D0"": 4218.5232662311355, ""D1"": 3499.8074518098283}",35cf60ac305795b69be8391e9cd0ebf3a27966528f2b40502a6347376d2eb511,7718.330718040964,3511.6536941822014,10743.578083404716,18461.90880144568,0.9348242636437748,N221,historical_mixed,4
full,3,PASS,52,3439.0146224802056,221,97372.73898452878,0,"{""D0"": 4339.677923784704, ""D1"": 3675.7282407924567}",57a3b7189bc680be8422d57dfdb7a5ce288524cde668d0ef8da375f68368c190,8015.406164577161,3415.9645461669725,10423.095689533204,18438.501854110364,1.0,N221,historical_mixed,5
no_cooperation,3,PASS,0,3404.0902682837627,221,97372.73898452878,0,"{""D0"": 4136.745001050397, ""D1"": 3721.427725359983}",3f09201c3ab5f8c61f01aeaabf78c9b7389ef4cd2b94fcdc66dea2510ff1ed84,7858.17272641038,3381.2107603845375,10580.329127699984,18438.501854110364,1.0,N221,historical_mixed,5
no_participation,3,PASS,52,3434.4236496547264,221,97372.73898452878,2,"{""D0"": 4338.264537259886, ""D1"": 3687.120920196684}",70b9b289635cf8759eeb0035dbb68d1a7448760cc499f129b67a4bad7ad04b96,8025.38545745657,3411.6372425171353,10413.116396653795,18438.501854110364,0.9993783400483801,N221,historical_mixed,5
simple_insertion,3,PASS,0,3569.521831191502,221,97372.73898452878,0,"{""D0"": 4131.628976545141, ""D1"": 3426.0168361801498}",40752838209408c32e1b8b19eae0bb2222affc7f74d40149f8a16bb5d6804af5,7557.645812725291,3546.3576052330195,10880.856041385076,18438.501854110367,0.9561305358541914,N221,historical_mixed,5
full,3,PASS,86,3716.882431021851,323,147111.6225845676,0,"{""D0"": 5946.624773666308, ""D1"": 8021.857207339614}",01a11b0b433e8ec3d18f141cc769ffb3d47a8d6ff9f1f080143af31ea9337fd3,13968.481981005923,3692.947400229569,13888.574871607807,27857.05685261373,1.0,N322,geographic,1
no_cooperation,3,PASS,0,3825.579124498986,323,147111.6225845676,0,"{""D0"": 6067.093240834677, ""D1"": 7621.7829399074835}",42e33e3889d042261923cd93c32f3d860f57aa0eefeb46016c223ab6e8e320b5,13688.876180742162,3801.719230279767,14168.180671871569,27857.05685261373,1.0,N322,geographic,1
no_participation,3,PASS,86,3654.8737122253124,323,147111.6225845676,2,"{""D0"": 6113.871651378992, ""D1"": 8010.74413471831}",9bcf79a111353356c91ca16b2c6857ef29b067b42ed93efacc3a71df30980d34,14124.615786097303,3630.8913915625317,13732.441066516423,27857.05685261373,0.9986416493894421,N322,geographic,1
simple_insertion,3,PASS,0,3780.04470769773,323,147111.6225845676,0,"{""D0"": 5946.624773666308, ""D1"": 7963.755429161332}",dff28ea48b8512169da8a5c92defcb42c87d2714c7f0131b77fb441064b6e5c8,13910.38020282764,3756.0516948570717,13946.676649786084,27857.056852613725,0.9999007542431495,N322,geographic,1
