task_id,instance_id,region,arm,charge_timing_policy,seed,solver,mip_invoked,initial_time_limit_seconds,final_time_limit_seconds,actual_elapsed_seconds,time_limit_reached,finished_before_time_limit,incumbent_available,status,status_class,optimality_proven,extended,extension_count,extension_supported,incumbent_trace_supported,extension_unavailable_reason
T24__PRD__ASAP__S2026080201,cn-prd-100c-01-V2-LOCATIONS,PRD,ASAP,asap,2026080201,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.027448209000795,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__ASAP__S2026080202,cn-prd-100c-01-V2-LOCATIONS,PRD,ASAP,asap,2026080202,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.0152068339994,True,False,True,1,LIMIT_WITH_INCUMBENT,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__ASAP__S2026080203,cn-prd-100c-01-V2-LOCATIONS,PRD,ASAP,asap,2026080203,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.027691375000359,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__ASAP__S2026080204,cn-prd-100c-01-V2-LOCATIONS,PRD,ASAP,asap,2026080204,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.030444750000242,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__ASAP__S2026080205,cn-prd-100c-01-V2-LOCATIONS,PRD,ASAP,asap,2026080205,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.012519541000074,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__ASAP__S2026080206,cn-prd-100c-01-V2-LOCATIONS,PRD,ASAP,asap,2026080206,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.011269791000814,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__ASAP__S2026080207,cn-prd-100c-01-V2-LOCATIONS,PRD,ASAP,asap,2026080207,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.009642041999541,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__ASAP__S2026080208,cn-prd-100c-01-V2-LOCATIONS,PRD,ASAP,asap,2026080208,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.008649000001242,True,False,True,1,LIMIT_WITH_INCUMBENT,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__ASAP__S2026080209,cn-prd-100c-01-V2-LOCATIONS,PRD,ASAP,asap,2026080209,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.011086541999248,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__ASAP__S2026080210,cn-prd-100c-01-V2-LOCATIONS,PRD,ASAP,asap,2026080210,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.013397167000221,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__COST_CARBON__S2026080201,cn-prd-100c-01-V2-LOCATIONS,PRD,COST_CARBON,cost_plus_carbon,2026080201,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.116348667001148,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__COST_CARBON__S2026080202,cn-prd-100c-01-V2-LOCATIONS,PRD,COST_CARBON,cost_plus_carbon,2026080202,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.074378582999998,True,False,True,1,LIMIT_WITH_INCUMBENT,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__COST_CARBON__S2026080203,cn-prd-100c-01-V2-LOCATIONS,PRD,COST_CARBON,cost_plus_carbon,2026080203,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.096896499999275,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__COST_CARBON__S2026080204,cn-prd-100c-01-V2-LOCATIONS,PRD,COST_CARBON,cost_plus_carbon,2026080204,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.126613999998881,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__COST_CARBON__S2026080205,cn-prd-100c-01-V2-LOCATIONS,PRD,COST_CARBON,cost_plus_carbon,2026080205,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.357325792001575,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__COST_CARBON__S2026080206,cn-prd-100c-01-V2-LOCATIONS,PRD,COST_CARBON,cost_plus_carbon,2026080206,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.201252417000433,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T24__PRD__COST_CARBON__S2026080207,cn-prd-100c-01-V2-LOCATIONS,PRD,COST_CARBON,cost_plus_carbon,2026080207,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.094949082998937,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
