algorithm,cross_site_cost_if_enabled,cross_site_customer_count,current_checker_violation_count,free_cost_match,instance,original_cross_site_list_count,replayed_free_cross_site_cost,reported_cost,seed,what_if_cost_delta,what_if_total_cost_with_cross_site_fee
LNS,570.0,6,0,True,L-main-threeshift-15c-01,0,1042.5214725783555,1042.5214725783555,5,570.0,1612.5214725783555
PSO,760.0,8,0,True,L-main-threeshift-15c-01,0,1316.6487450239674,1316.6487450239674,1,760.0,2076.6487450239674
PSO,380.0,4,0,True,L-main-threeshift-15c-01,0,1321.971782934998,1321.971782934998,2,380.0,1701.971782934998
PSO,380.0,4,0,True,L-main-threeshift-15c-01,0,1289.4280847312566,1289.4280847312566,3,380.0,1669.4280847312566
PSO,95.0,1,0,True,L-main-threeshift-15c-01,0,1281.5638815199154,1281.5638815199154,4,95.0,1376.5638815199154
PSO,380.0,4,0,True,L-main-threeshift-15c-01,0,1337.792791083742,1337.792791083742,5,380.0,1717.792791083742
VNS,380.0,4,0,True,L-main-threeshift-15c-01,0,1064.1122238417627,1064.1122238417627,1,380.0,1444.1122238417627
VNS,285.0,3,0,True,L-main-threeshift-15c-01,0,1041.7591843404048,1041.7591843404048,2,285.0,1326.7591843404048
VNS,190.0,2,0,True,L-main-threeshift-15c-01,0,1047.7297588653091,1047.7297588653091,3,190.0,1237.7297588653091
VNS,190.0,2,0,True,L-main-threeshift-15c-01,0,1047.7297588653091,1047.7297588653091,4,190.0,1237.7297588653091
VNS,475.0,5,0,True,L-main-threeshift-15c-01,0,1021.8545301087881,1021.8545301087881,5,475.0,1496.8545301087881
staged_hybrid_carbon_aware,190.0,2,0,True,L-main-threeshift-15c-01,0,1047.7297588653091,1047.7297588653091,1,190.0,1237.7297588653091
staged_hybrid_carbon_aware,190.0,2,0,True,L-main-threeshift-15c-01,0,1047.7297588653091,1047.7297588653091,2,190.0,1237.7297588653091
staged_hybrid_carbon_aware,190.0,2,0,True,L-main-threeshift-15c-01,0,1047.7297588653091,1047.7297588653091,3,190.0,1237.7297588653091
staged_hybrid_carbon_aware,190.0,2,0,True,L-main-threeshift-15c-01,0,1047.7297588653091,1047.7297588653091,4,190.0,1237.7297588653091
staged_hybrid_carbon_aware,475.0,5,0,True,L-main-threeshift-15c-01,0,1021.8545301087881,1021.8545301087881,5,475.0,1496.8545301087881
staged_hybrid_carbon_naive,190.0,2,0,True,L-main-threeshift-15c-01,0,1047.7297588653091,1047.7297588653091,1,190.0,1237.7297588653091
staged_hybrid_carbon_naive,190.0,2,0,True,L-main-threeshift-15c-01,0,1047.7297588653091,1047.7297588653091,2,190.0,1237.7297588653091
staged_hybrid_carbon_naive,190.0,2,0,True,L-main-threeshift-15c-01,0,1047.7297588653091,1047.7297588653091,3,190.0,1237.7297588653091
